ID	P.Value	logFC	Gene.symbol	Gene.title
1419689_at	3.59e-02	5.61e-01	Gpc6	glypican 6
AFFX-TransRecMur/X57349_5_at	3.59e-02	9.19e-01	Tfrc	transferrin receptor
1435514_at	3.59e-02	3.92e-01	Lztfl1	leucine zipper transcription factor-like 1
1448101_s_at	3.59e-02	-1.67e-01	Trim27	tripartite motif-containing 27
1443819_x_at	3.59e-02	-2.02e-01	Fis1	fission, mitochondrial 1
1428661_at	3.59e-02	3.91e-01	Tonsl	tonsoku-like, DNA repair protein
1446346_at	3.59e-02	1.36		
1451003_at	3.60e-02	-1.84e-01	Tab2	TGF-beta activated kinase 1/MAP3K7 binding protein 2
1446739_at	3.60e-02	-5.07e-01		
1454223_at	3.60e-02	-4.50e-01	4933423P22Rik	RIKEN cDNA 4933423P22 gene
1433959_at	3.60e-02	6.27e-01	Zmat4	zinc finger, matrin type 4
1452736_at	3.60e-02	-2.20e-01	R3hcc1	R3H domain and coiled-coil containing 1
1427216_at	3.60e-02	-3.28e-01	Ifnz	interferon zeta
1457047_at	3.60e-02	2.40e-01		
1423422_at	3.60e-02	-1.59	Asb4	ankyrin repeat and SOCS box-containing 4
1420013_s_at	3.61e-02	-3.87e-01	Lss	lanosterol synthase
1447959_at	3.61e-02	2.07e-01	Zfp398	zinc finger protein 398
1437547_s_at	3.61e-02	-2.63e-01	Dnajc14	DnaJ heat shock protein family (Hsp40) member C14
1431756_at	3.61e-02	-1.68		
1440955_at	3.61e-02	-3.90e-01	Kcp	kielin/chordin-like protein
1456350_at	3.61e-02	-2.63e-01	Zfp451	zinc finger protein 451
1450814_a_at	3.62e-02	-1.82e-01	Ipo4	importin 4
1425504_at	3.62e-02	9.64e-01	Mylk	myosin, light polypeptide kinase
1430506_at	3.62e-02	3.10e-01	8430406P12Rik///Cdk13	RIKEN cDNA 8430406P12 gene///cyclin-dependent kinase 13
1445334_at	3.62e-02	-2.49e-01	1700047I17Rik2///Fam177a	RIKEN cDNA 1700047I17 gene 2///family with sequence similarity 177, member A
1455023_at	3.62e-02	-5.23e-01	Phf24	PHD finger protein 24
1453323_at	3.62e-02	-1.27	2900079G21Rik	RIKEN cDNA 2900079G21 gene
1432708_at	3.62e-02	-5.51e-01	Gm8096	3-phosphoglycerate dehydrogenase pseudogene
1443769_at	3.62e-02	2.11	Enam	enamelin
1458686_at	3.62e-02	3.46e-01		
1444247_at	3.62e-02	4.82e-01		
1425018_at	3.62e-02	-1.29e-01	Mcts1	malignant T cell amplified sequence 1
1421441_at	3.62e-02	3.77e-01	Angpt1	angiopoietin 1
1422433_s_at	3.62e-02	-1.89e-01	Idh1	isocitrate dehydrogenase 1 (NADP+), soluble
AFFX-ThrX-M_at	3.62e-02	-3.07e-01		
1440373_at	3.63e-02	4.46e-01		
1421192_a_at	3.63e-02	1.61	Itsn1	intersectin 1 (SH3 domain protein 1A)
1459329_at	3.63e-02	3.25e-01	Ttc7	tetratricopeptide repeat domain 7
1418243_at	3.63e-02	1.89	Fcna	ficolin A
1418911_s_at	3.63e-02	-3.76e-01	Acsl4	acyl-CoA synthetase long-chain family member 4
1460699_at	3.63e-02	5.71e-01	Rps27	ribosomal protein S27
1443156_at	3.63e-02	-2.79e-01		
1424793_a_at	3.63e-02	-1.28	Pbp2	phosphatidylethanolamine binding protein 2
1450543_at	3.63e-02	-2.06e-01	Myo1h	myosin 1H
1453426_a_at	3.63e-02	-7.20e-01	Wdfy1	WD repeat and FYVE domain containing 1
1421426_at	3.64e-02	-8.86e-01	Hhip	Hedgehog-interacting protein
1417386_at	3.64e-02	-1.58e-01	Npepps	aminopeptidase puromycin sensitive
1420519_a_at	3.64e-02	2.26e-01	Eral1	Era (G-protein)-like 1 (E. coli)
1445622_at	3.64e-02	-1.91	Gm33727	predicted gene, 33727
1458937_at	3.64e-02	1.96	Tspyl4	TSPY-like 4
1436264_at	3.64e-02	5.25e-01	BC025920	zinc finger protein pseudogene
1459088_at	3.64e-02	1.21	C79557	expressed sequence C79557
1437287_at	3.64e-02	2.70e-01	Nadk2	NAD kinase 2, mitochondrial
1428687_at	3.65e-02	2.72e-01	Zfp687	zinc finger protein 687
1419284_at	3.65e-02	-3.84e-01	Cyhr1	cysteine and histidine rich 1
1455369_at	3.65e-02	-5.11e-01	Apba1	amyloid beta (A4) precursor protein binding, family A, member 1
1439063_at	3.65e-02	2.42e-01	Asxl2	additional sex combs like 2 (Drosophila)
1426041_a_at	3.65e-02	-3.80e-01	Fgd4	FYVE, RhoGEF and PH domain containing 4
1426914_at	3.66e-02	4.30e-01	Marveld2	MARVEL (membrane-associating) domain containing 2
1426740_s_at	3.66e-02	3.69e-01	Armc5	armadillo repeat containing 5
1416173_at	3.66e-02	5.15e-01	Pes1	pescadillo ribosomal biogenesis factor 1
1425594_at	3.66e-02	-1.13	Lamc3	laminin gamma 3
1446135_at	3.66e-02	2.01	D030051J21Rik///3830406C13Rik	RIKEN cDNA D030051J21 gene///RIKEN cDNA 3830406C13 gene
1444652_at	3.66e-02	4.16e-01	B830004H01Rik	RIKEN cDNA B830004H01 gene
1452538_at	3.66e-02	-1.25	Ighv14-2///Ighg3///Igh-VJ558///Ighm	immunoglobulin heavy variable 14-2///Immunoglobulin heavy constant gamma 3///immunoglobulin heavy chain (J558 family)///immunoglobulin heavy constant mu
1446389_at	3.66e-02	4.93e-01		
1447753_at	3.66e-02	5.34e-01	Cdc37l1	cell division cycle 37-like 1
1447570_s_at	3.66e-02	-4.07e-01	A430106A12Rik	RIKEN cDNA A430106A12 gene
1458220_at	3.66e-02	7.73e-01	Dlc1	deleted in liver cancer 1
1427206_at	3.66e-02	3.19e-01	Afg3l2	AFG3-like AAA ATPase 2
1417227_at	3.66e-02	1.21e-01	Mccc1	methylcrotonoyl-Coenzyme A carboxylase 1 (alpha)
1440155_at	3.66e-02	8.07e-01	Fstl4	follistatin-like 4
1434198_at	3.66e-02	1.90e-01	Atpif1	ATPase inhibitory factor 1
1435567_at	3.66e-02	-1.67e-01	Phka1	phosphorylase kinase alpha 1
1418750_at	3.66e-02	3.08e-01	Plxnb3	plexin B3
1430646_at	3.66e-02	3.42e-01	5830407P18Rik	RIKEN cDNA 5830407P18 gene
1438739_at	3.66e-02	4.08e-01		
1418120_at	3.67e-02	2.84e-01	Rbm8a	RNA binding motif protein 8a
1417340_at	3.67e-02	-1.49e-01	Gm12669///Glrx3	glutaredoxin 3 pseudogene///glutaredoxin 3
1449895_at	3.67e-02	6.54e-01	Acr	acrosin prepropeptide
1431606_a_at	3.67e-02	-3.00e-01	Angel2	angel homolog 2 (Drosophila)
1423886_at	3.67e-02	-3.97e-01	Lamc1	laminin, gamma 1
1457146_at	3.67e-02	7.39e-01	Dock4	dedicator of cytokinesis 4
1416743_at	3.67e-02	-2.48e-01	Uap1	UDP-N-acetylglucosamine pyrophosphorylase 1
1437011_x_at	3.67e-02	-6.46e-01	Oaz3	ornithine decarboxylase antizyme 3
1446542_at	3.67e-02	5.63e-01	Acss2	acyl-CoA synthetase short-chain family member 2
1460396_at	3.67e-02	3.25e-01	Ddx54	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54
1460445_at	3.67e-02	3.16e-01	Scaf11	SR-related CTD-associated factor 11
1436341_at	3.68e-02	-1.76e-01	Hmbox1	homeobox containing 1
1458357_x_at	3.68e-02	-1.87	Ptov1	prostate tumor over expressed gene 1
1434577_at	3.68e-02	2.20e-01	BC052040	cDNA sequence BC052040
1435194_at	3.68e-02	2.26e-01	Hspa4	heat shock protein 4
1454013_at	3.68e-02	-3.91e-01	1810062O18Rik	RIKEN cDNA 1810062O18 gene
1448063_at	3.68e-02	-2.74e-01	Iqsec2	IQ motif and Sec7 domain 2
1456605_at	3.68e-02	-3.61e-01	Cebpd	CCAAT/enhancer binding protein (C/EBP), delta
1453974_at	3.68e-02	-1.19	1700023A20Rik	RIKEN cDNA 1700023A20 gene
1434390_at	3.68e-02	-2.00e-01	AI503316///Hnrnpu	expressed sequence AI503316///heterogeneous nuclear ribonucleoprotein U
1418519_at	3.68e-02	1.67	Aadat	aminoadipate aminotransferase
1437965_at	3.69e-02	3.30e-01	Heatr1	HEAT repeat containing 1
1426070_a_at	3.69e-02	-7.65e-01	Kcnd3	potassium voltage-gated channel, Shal-related family, member 3
1429710_at	3.69e-02	-2.21e-01	Styx	serine/threonine/tyrosine interaction protein
1449065_at	3.69e-02	7.53e-01	Acot1	acyl-CoA thioesterase 1
1455290_at	3.69e-02	-2.47e-01	Znrf2	zinc and ring finger 2
1443687_x_at	3.69e-02	6.84e-01	H2-DMb2	histocompatibility 2, class II, locus Mb2
1435242_at	3.69e-02	1.69e-01	Pds5b	PDS5 cohesin associated factor B
1457685_at	3.70e-02	-4.06e-01	Zfp81	zinc finger protein 81
1459346_at	3.70e-02	3.36e-01	Tsen2	tRNA splicing endonuclease subunit 2
1431156_at	3.70e-02	-6.15e-01	9430040K09Rik	RIKEN cDNA 9430040K09 gene
1452628_at	3.70e-02	2.28e-01	Bag5	BCL2-associated athanogene 5
1459334_at	3.70e-02	-1.29		
1458669_at	3.70e-02	-3.83e-01	Agpat5	1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)
1459306_at	3.71e-02	-5.24e-01		
1423497_at	3.71e-02	-4.05e-01	Klhl10	kelch-like 10
1422254_a_at	3.71e-02	-3.90e-01	Dyrk1b	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1b
1424405_at	3.71e-02	2.06e-01	Mbip	MAP3K12 binding inhibitory protein 1
1446289_at	3.71e-02	-5.87e-01		
1439770_at	3.71e-02	-2.79e-01	Nyap1	neuronal tyrosine-phosphorylated phosphoinositide 3-kinase adaptor 1
1419800_at	3.71e-02	-1.45	Gm29638	predicted gene 29638
1429607_at	3.71e-02	-2.84e-01	Trak2	trafficking protein, kinesin binding 2
1441423_at	3.71e-02	-2.64e-01	Ece1	endothelin converting enzyme 1
1445604_at	3.71e-02	4.50e-01		
1450209_at	3.71e-02	7.73e-01	Hoxd4///Hoxd3	homeobox D4///homeobox D3
1431025_at	3.71e-02	-5.38e-01	Fuz	fuzzy planar cell polarity protein
1431004_at	3.71e-02	-4.66e-01	Gm21451///Loxl2	predicted gene, 21451///lysyl oxidase-like 2
1434155_a_at	3.71e-02	-1.77e-01	2310061I04Rik	RIKEN cDNA 2310061I04 gene
1423157_at	3.71e-02	-2.81e-01	Gnpnat1	glucosamine-phosphate N-acetyltransferase 1
1422624_at	3.72e-02	1.81e-01	Rev1	REV1, DNA directed polymerase
1416096_at	3.72e-02	-2.30e-01	Vipas39	VPS33B interacting protein, apical-basolateral polarity regulator, spe-39 homolog
1440195_at	3.72e-02	1.92e-01	Serbp1	serpine1 mRNA binding protein 1
1423091_a_at	3.72e-02	-3.78e-01	Gpm6b	glycoprotein m6b
1425291_at	3.72e-02	1.47	Foxj1	forkhead box J1
1429711_at	3.72e-02	-2.24e-01	Styx	serine/threonine/tyrosine interaction protein
1459322_at	3.72e-02	-1.24		
1422487_at	3.72e-02	-1.27e-01	Smad4	SMAD family member 4
1418190_at	3.72e-02	-9.83e-01	Pon1	paraoxonase 1
1438936_s_at	3.72e-02	-7.13e-01	Ang	angiogenin, ribonuclease, RNase A family, 5
1458261_at	3.72e-02	2.02e-01		
1448271_a_at	3.73e-02	2.16e-01	Ddx21	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21
1417886_at	3.73e-02	-2.19e-01	Lbhd1///1810009A15Rik	LBH domain containing 1///RIKEN cDNA 1810009A15 gene
1424811_at	3.73e-02	1.63	Nat8f5	N-acetyltransferase 8 (GCN5-related) family member 5
1430982_at	3.73e-02	2.31e-01	LOC102641923///Srsf1	serine/arginine-rich splicing factor 1-like///serine/arginine-rich splicing factor 1
1419168_at	3.73e-02	2.15e-01	Mapk6	mitogen-activated protein kinase 6
1417245_at	3.73e-02	1.97e-01	Gpr180	G protein-coupled receptor 180
1452563_a_at	3.73e-02	-3.79e-01	Kdm5d	lysine (K)-specific demethylase 5D
1435829_at	3.73e-02	-1.55e-01	Zmat1	zinc finger, matrin type 1
1447925_at	3.73e-02	-4.48e-01	D630033A02Rik	RIKEN cDNA D630033A02 gene
1456131_x_at	3.74e-02	-2.43e-01	Dag1	dystroglycan 1
1455613_at	3.74e-02	-3.33e-01	E130308A19Rik	RIKEN cDNA E130308A19 gene
1416685_s_at	3.74e-02	2.29e-01	Fbl	fibrillarin
1423694_at	3.74e-02	-1.85e-01	Kctd10	potassium channel tetramerisation domain containing 10
1447448_s_at	3.74e-02	1.56e-01	Klf6	Kruppel-like factor 6
1432626_at	3.75e-02	-3.46e-01	5730507A11Rik	RIKEN cDNA 5730507A11 gene
1446824_at	3.75e-02	4.82e-01		
1441725_at	3.75e-02	4.58e-01	6530402F18Rik	RIKEN cDNA 6530402F18 gene
1418052_at	3.75e-02	-2.56e-01	Mvk	mevalonate kinase
1437484_at	3.75e-02	-3.13e-01	Zbtb5	zinc finger and BTB domain containing 5
1417190_at	3.75e-02	-1.21e-01	Nampt	nicotinamide phosphoribosyltransferase
1459261_at	3.75e-02	9.79e-01	Sox5	SRY (sex determining region Y)-box 5
1423986_a_at	3.75e-02	-1.72e-01	Shisa5	shisa family member 5
1458566_at	3.75e-02	2.70e-01		
1443601_at	3.76e-02	-1.44	Gm12888	predicted gene 12888
1460690_at	3.76e-02	-2.32e-01	Fam195b	family with sequence similarity 195, member B
1424403_a_at	3.76e-02	-3.91e-01	Rufy3	RUN and FYVE domain containing 3
1436779_at	3.76e-02	1.67	Cybb	cytochrome b-245, beta polypeptide
1453729_a_at	3.76e-02	-1.50e-01	Rpl37rt///Rpl37	ribosomal protein L37, retrotransposed///ribosomal protein L37
1456892_at	3.76e-02	-3.65e-01	D030036P13Rik	RIKEN cDNA D030036P13 gene
1454522_at	3.76e-02	-9.76e-01	4930573G07Rik	RIKEN cDNA 4930573G07 gene
1450805_at	3.76e-02	-6.71e-01	Sgcd	sarcoglycan, delta (dystrophin-associated glycoprotein)
1448207_at	3.76e-02	-7.62e-01	Lasp1	LIM and SH3 protein 1
1436960_at	3.76e-02	-1.59e-01	Brd3	bromodomain containing 3
1448032_at	3.76e-02	-1.97e-01	Azi2	5-azacytidine induced gene 2
1456227_x_at	3.76e-02	1.85e-01	Rbbp7	retinoblastoma binding protein 7
1446948_at	3.77e-02	-4.27e-01		
1446910_at	3.77e-02	9.65e-01		
1417129_a_at	3.77e-02	3.24e-01	Meis2	Meis homeobox 2
1429561_at	3.77e-02	-2.80e-01	Brf2	BRF2, RNA polymerase III transcription initiation factor 50kDa subunit
1429476_s_at	3.77e-02	1.18e-01	Dnaja2	DnaJ heat shock protein family (Hsp40) member A2
1418476_at	3.77e-02	-1.73	Crlf1	cytokine receptor-like factor 1
1420734_at	3.77e-02	3.54e-01	Ppp1r3f	protein phosphatase 1, regulatory (inhibitor) subunit 3F
1426323_x_at	3.78e-02	3.51e-01	Siva1	SIVA1, apoptosis-inducing factor
1443108_at	3.78e-02	-2.98e-01	Zfp800	zinc finger protein 800
1435139_at	3.78e-02	2.56e-01	Naa15	N(alpha)-acetyltransferase 15, NatA auxiliary subunit
1445014_at	3.78e-02	-4.31e-01	AU019157	expressed sequence AU019157
1423601_s_at	3.78e-02	2.33e-01	Tcof1	treacle ribosome biogenesis factor 1
1418176_at	3.78e-02	6.97e-01	Vdr	vitamin D receptor
1442885_at	3.78e-02	-4.15e-01	Scap	SREBF chaperone
1438038_at	3.78e-02	-1.96e-01	4930402H24Rik	RIKEN cDNA 4930402H24 gene
1460346_at	3.78e-02	-2.09e-01	Arsa	arylsulfatase A
1429590_at	3.79e-02	1.40e-01	Tacc1	transforming, acidic coiled-coil containing protein 1
1456429_at	3.79e-02	2.50e-01	Malt1	MALT1 paracaspase
1453625_at	3.79e-02	-2.01	Dtna	dystrobrevin alpha
1434856_at	3.79e-02	1.39e-01	Ankrd44	ankyrin repeat domain 44
1419559_at	3.79e-02	-1.08	Cyp4f14	cytochrome P450, family 4, subfamily f, polypeptide 14
1435550_at	3.79e-02	1.21e-01	Kmt2d	lysine (K)-specific methyltransferase 2D
1420812_at	3.79e-02	-2.17e-01	Hdac7	histone deacetylase 7
1425834_a_at	3.79e-02	5.09e-01	Gpam	glycerol-3-phosphate acyltransferase, mitochondrial
1434009_at	3.80e-02	1.83e-01	Arhgap35	Rho GTPase activating protein 35
1438635_x_at	3.80e-02	2.07e-01	Fndc10	fibronectin type III domain containing 10
1456791_at	3.80e-02	-2.45e-01	Zfp800	zinc finger protein 800
1420776_a_at	3.80e-02	-2.95e-01	Auh	AU RNA binding protein/enoyl-coenzyme A hydratase
1458105_at	3.80e-02	1.79	Syn2	synapsin II
1443382_s_at	3.80e-02	-3.51e-01		
1453427_at	3.81e-02	-2.62e-01	Csnk2a1	casein kinase 2, alpha 1 polypeptide
1442423_at	3.81e-02	-1.36		
1456473_x_at	3.81e-02	4.98e-01	Arf2	ADP-ribosylation factor 2
1423423_at	3.81e-02	1.88e-01	Pdia3	protein disulfide isomerase associated 3
1449448_at	3.81e-02	-2.77e-01	Med9	mediator complex subunit 9
1422122_at	3.81e-02	-5.20e-01	Fcer2a	Fc receptor, IgE, low affinity II, alpha polypeptide
1445535_at	3.81e-02	-3.53e-01	AA407107	expressed sequence AA407107
1453708_a_at	3.81e-02	2.91e-01	Gsto2	glutathione S-transferase omega 2
1418687_at	3.81e-02	-1.48	Arc	activity regulated cytoskeletal-associated protein
1453538_at	3.81e-02	3.81e-01	Csrnp3	cysteine-serine-rich nuclear protein 3
1422592_at	3.81e-02	8.05e-01	Ctnnd2	catenin (cadherin associated protein), delta 2
1448414_at	3.82e-02	-2.40e-01	Rad1	RAD1 checkpoint DNA exonuclease
1459384_at	3.82e-02	-6.54e-01		
1434617_x_at	3.82e-02	9.95e-01	Slc38a10	solute carrier family 38, member 10
1458974_at	3.82e-02	-4.63e-01		
1441004_at	3.82e-02	-4.24e-01		
1421849_at	3.82e-02	1.71e-01	Stag2	stromal antigen 2
1441547_at	3.82e-02	-2.18e-01		
1444271_at	3.82e-02	2.51e-01	Anapc1	anaphase promoting complex subunit 1
1418491_a_at	3.82e-02	2.93e-01	Pus3	pseudouridine synthase 3
1424258_at	3.83e-02	2.09e-01	Polr2d	polymerase (RNA) II (DNA directed) polypeptide D
1418306_at	3.83e-02	8.64e-01	Crybb1	crystallin, beta B1
1450087_a_at	3.83e-02	2.64e-01	Nolc1	nucleolar and coiled-body phosphoprotein 1
1457790_at	3.83e-02	-5.13e-01	Asb3	ankyrin repeat and SOCS box-containing 3
1430176_at	3.83e-02	-8.05e-01	Kbtbd13	kelch repeat and BTB (POZ) domain containing 13
1454172_at	3.83e-02	-7.04e-01	Bcorl1	BCL6 co-repressor-like 1
1436516_at	3.83e-02	-3.13e-01	Abhd13	abhydrolase domain containing 13
1460256_at	3.83e-02	-1.07	Car3	carbonic anhydrase 3
1418002_at	3.83e-02	-1.53e-01	Higd2a	HIG1 domain family, member 2A
1423247_at	3.84e-02	1.81e-01	Erp44	endoplasmic reticulum protein 44
1435937_at	3.84e-02	-2.01e-01	Sptlc2	serine palmitoyltransferase, long chain base subunit 2
1418332_a_at	3.84e-02	1.57e-01	Agtpbp1	ATP/GTP binding protein 1
1432597_at	3.84e-02	-1.20	4930599N24Rik	RIKEN cDNA 4930599N24 gene
1423749_s_at	3.85e-02	2.06e-01	Rangap1	RAN GTPase activating protein 1
1454100_at	3.85e-02	-1.82	4930480E11Rik	RIKEN cDNA 4930480E11 gene
1426285_at	3.85e-02	-7.58e-01	Lama2	laminin, alpha 2
1420724_at	3.85e-02	8.27e-01	1700067P10Rik	RIKEN cDNA 1700067P10 gene
1445852_at	3.85e-02	-1.19	D19Ertd200e	DNA segment, Chr 19, ERATO Doi 200, expressed
1429539_at	3.85e-02	2.08e-01	Bcl2l13	BCL2-like 13 (apoptosis facilitator)
1417062_at	3.85e-02	-2.03e-01	Armc10	armadillo repeat containing 10
1440934_at	3.85e-02	1.57	Faxc	failed axon connections homolog
1447197_at	3.85e-02	-1.41	C86544	expressed sequence C86544
1460032_at	3.85e-02	3.33e-01		
1448746_at	3.85e-02	1.58e-01	Nbn	nibrin
1422795_at	3.86e-02	1.59e-01	Cul3	cullin 3
1446472_at	3.86e-02	2.73e-01	Ahctf1	AT hook containing transcription factor 1
1419307_at	3.86e-02	9.62e-01	Tnfrsf13c	tumor necrosis factor receptor superfamily, member 13c
1440813_s_at	3.86e-02	3.27e-01	Plxnb3	plexin B3
1455381_at	3.86e-02	-1.83e-01	Marf1	meiosis arrest female 1
1434251_at	3.86e-02	1.66e-01	Gm6158///Cnot1	predicted gene 6158///CCR4-NOT transcription complex, subunit 1
1419014_at	3.86e-02	1.85	Rhag	Rhesus blood group-associated A glycoprotein
1433621_at	3.86e-02	-2.48e-01	Wdr41	WD repeat domain 41
1427904_s_at	3.86e-02	1.71e-01	Ndufaf7	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex assembly factor 7
1419635_at	3.87e-02	-1.71e-01	4833420G17Rik	RIKEN cDNA 4833420G17 gene
1426180_a_at	3.87e-02	9.75e-01	Smr2	submaxillary gland androgen regulated protein 2
1433837_at	3.87e-02	-1.12	8430408G22Rik	RIKEN cDNA 8430408G22 gene
1443771_x_at	3.87e-02	-3.79e-01	Smad7	SMAD family member 7
1445981_at	3.87e-02	-1.21		
1418132_a_at	3.87e-02	-4.76e-01	Ubfd1	ubiquitin family domain containing 1
1446409_at	3.87e-02	-5.17e-01	Gtdc1	glycosyltransferase-like domain containing 1
1444562_at	3.88e-02	-3.90e-01		
1455191_x_at	3.88e-02	-1.52e-01	Pip5k1a	phosphatidylinositol-4-phosphate 5-kinase, type 1 alpha
1439706_at	3.88e-02	2.26e-01	A330106F07Rik	RIKEN cDNA A330106F07 gene
1419531_at	3.88e-02	4.67e-01	1700102P08Rik	RIKEN cDNA 1700102P08 gene
1418954_at	3.88e-02	3.14e-01	Camkk1	calcium/calmodulin-dependent protein kinase kinase 1, alpha
1430034_at	3.88e-02	-1.98e-01	Cct4	chaperonin containing Tcp1, subunit 4 (delta)
1426434_at	3.88e-02	-2.64e-01	Tmem43	transmembrane protein 43
1419901_at	3.88e-02	-2.82e-01	Gm11110	predicted gene 11110
1427524_a_at	3.89e-02	-3.98e-01	Mphosph8	M-phase phosphoprotein 8
1452945_at	3.89e-02	4.31e-01	Zfp157	zinc finger protein 157
1455045_at	3.89e-02	2.31e-01	Srr	serine racemase
1416607_at	3.89e-02	-2.12e-01	4931406C07Rik	RIKEN cDNA 4931406C07 gene
1418343_at	3.89e-02	2.17e-01	Gtf2ird2	GTF2I repeat domain containing 2
1456245_x_at	3.89e-02	1.88e-01	Vamp3	vesicle-associated membrane protein 3
1426677_at	3.89e-02	-3.20e-01	Flna	filamin, alpha
1421106_at	3.89e-02	6.12e-01	Jag1	jagged 1
1437099_x_at	3.89e-02	2.27e-01	Hnrnpf	heterogeneous nuclear ribonucleoprotein F
1423872_a_at	3.89e-02	-2.64e-01	Dag1	dystroglycan 1
1450303_at	3.89e-02	1.59	Vax2	ventral anterior homeobox 2
1443814_x_at	3.89e-02	1.57	Ctsh	cathepsin H
1416490_at	3.89e-02	6.00e-01	Tmed6	transmembrane emp24 protein transport domain containing 6
1418748_at	3.89e-02	2.15	Casp14	caspase 14
1437304_at	3.89e-02	-1.80e-01	Cblb	Casitas B-lineage lymphoma b
1442578_at	3.90e-02	6.35e-01	Rfx2	regulatory factor X, 2 (influences HLA class II expression)
1427720_a_at	3.90e-02	1.57e-01	Rrp1	ribosomal RNA processing 1 homolog (S. cerevisiae)
1448618_at	3.90e-02	-1.99e-01	Mvp	major vault protein
1415934_at	3.90e-02	1.85e-01	Cops8	COP9 signalosome subunit 8
1459325_at	3.90e-02	-3.43e-01		
1448474_at	3.90e-02	-1.56e-01	Nek7	NIMA (never in mitosis gene a)-related expressed kinase 7
1442900_at	3.90e-02	-1.09		
1452145_at	3.90e-02	2.53e-01	H6pd	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)
1426137_at	3.90e-02	-1.33	Rex2	reduced expression 2
1425415_a_at	3.91e-02	1.91	Slc1a1	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1
1428563_at	3.91e-02	2.06e-01	Ddx10	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10
1422488_at	3.91e-02	-2.09e-01	Nxt1	NTF2-related export protein 1
1426032_at	3.91e-02	-1.13	Nfatc2	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2
1449163_at	3.91e-02	-2.95e-01	Sigirr	single immunoglobulin and toll-interleukin 1 receptor (TIR) domain
1458963_at	3.91e-02	-2.51e-01	Ttc39b	tetratricopeptide repeat domain 39B
1430761_at	3.91e-02	4.84e-01	0610039K10Rik	RIKEN cDNA 0610039K10 gene
1421961_a_at	3.91e-02	-9.01e-01	Dnajb5	DnaJ heat shock protein family (Hsp40) member B5
1431139_at	3.91e-02	-3.68e-01	Cdyl2	chromodomain protein, Y chromosome-like 2
1425446_at	3.91e-02	1.64		
1439618_at	3.91e-02	-9.81e-01	Pde10a	phosphodiesterase 10A
1431100_at	3.91e-02	9.95e-01	Rinl	Ras and Rab interactor-like
1443561_at	3.91e-02	-1.21		
1454406_at	3.91e-02	-3.91e-01	4930453J04Rik	RIKEN cDNA 4930453J04 gene
1458980_at	3.91e-02	4.48e-01		
1418732_s_at	3.92e-02	-2.26e-01	Wdr83	WD repeat domain containing 83
1439849_at	3.92e-02	-5.17e-01	Trabd2b	TraB domain containing 2B
1453660_at	3.92e-02	-4.24e-01	5430420F09Rik	RIKEN cDNA 5430420F09 gene
1427554_at	3.92e-02	9.67e-01	Helq	helicase, POLQ-like
1417837_at	3.92e-02	1.27	Phlda2	pleckstrin homology like domain, family A, member 2
1427364_a_at	3.92e-02	4.66e-01	Odc1	ornithine decarboxylase, structural 1
1431891_at	3.92e-02	-5.92e-01	Zswim5	zinc finger SWIM-type containing 5
1460234_at	3.92e-02	-2.06e-01	Wdr81	WD repeat domain 81
1441223_at	3.92e-02	-1.32	March4	membrane-associated ring finger (C3HC4) 4
1437822_at	3.92e-02	2.93e-01	Yme1l1	YME1-like 1 (S. cerevisiae)
1451349_at	3.92e-02	1.64e-01	Efcab7	EF-hand calcium binding domain 7
1417153_at	3.92e-02	-4.09e-01	Nacc2	nucleus accumbens associated 2, BEN and BTB (POZ) domain containing
1425859_a_at	3.93e-02	-1.80e-01	Psmd4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4
1419298_at	3.93e-02	2.18e-01	Pon3	paraoxonase 3
1422066_x_at	3.93e-02	1.93	Klrb1b	killer cell lectin-like receptor subfamily B member 1B
